,sentence,joy,anticipation,fear,surprise,anger,sadness,trust,disgust
914,Then yesterday Maggie told her she was not invited.,0,0,0,1,1,1,0,1
915,"Luckily, his landlord backed down.",1,1,0,1,0,0,0,0
916,"Since she had plans, she refused to go.",0,0,1,0,1,1,0,0
917,Fred had been going out with Suzy for a long time.,1,1,0,0,0,0,1,0
918,Joanie bought four inch heels to wear with her prom dress.,1,1,0,0,0,0,0,0
919,She showed her how to stop them from coming back.,1,1,0,0,0,0,1,0
920,"When it was time to go, Charles threw a fit.",0,0,0,0,1,1,0,0
921,Gabriel was preparing for a big concert.,0,1,1,0,0,0,0,0
922,"Kirk left the camera at school, and somebody stole it.",0,0,1,0,1,1,1,1
923,Rick and his girls walked around the neighborhood afterwards.,0,1,1,1,0,0,0,0
924,Now my children fear those same monsters under their own beds.,0,0,1,0,0,1,0,0
925,They decided to become best friends.,1,1,0,1,0,0,1,0
926,She tends to walk slowly in hopes that she won't do something painful.,0,0,1,1,1,1,0,0
927,He went to Miami.,1,1,0,0,0,0,0,0
928,He joins the army.,1,1,1,0,0,0,0,0
929,I didn't mind because I didn't want to be friends with drug users.,1,1,0,0,0,0,1,0
930,They had to have someone come take the dog away.,0,0,1,1,1,1,0,1
931,He did not go down in the basement.,0,1,1,0,1,1,0,0
932,Everyone enjoys the food and company of everyone around.,1,1,0,0,0,0,1,0
933,They handed out free fruit samples in honor of Allston Xmas.,1,1,0,0,0,0,1,0
934,Even though he was supposed to he didn't go and she went alone.,0,1,1,1,1,1,0,1
935,He started across the intersection.,0,1,1,0,0,0,1,0
936,Jeff was walking down the hallway at school.,0,0,0,0,0,0,1,0
937,He felt tired after he vomited.,0,0,1,1,0,1,0,1
938,Simon's wife called the doctor.,0,1,1,0,0,1,0,1
939,Craig had a good time at the reunion.,1,0,0,0,0,0,0,0
940,Billy's father bought him the new pair of shoes.,1,0,0,0,0,0,0,0
941,She had eggs cooking on the skillet.,1,1,0,0,0,0,0,0
942,My husband had planned a party all by himself!,1,0,0,1,0,0,0,0
943,"They were exhilarated, as were the fans.",1,0,0,1,0,0,1,0
944,Anna was making a rice-based dish for her family for dinner.,1,1,0,0,0,0,1,0
945,"Just as she gets to the desk, she receives an alert on her phone.",1,1,0,1,0,0,1,0
946,"So, Leah had to go to a new school.",1,1,1,1,0,0,1,0
947,His brother was very critical of his driving.,0,0,0,0,1,1,0,0
948,Dan loved to eat mangoes.,1,1,0,0,0,0,0,0
949,She left the grocery store and headed into the parking lot.,1,0,0,0,0,0,1,0
950,She became a good tennis player.,1,0,0,0,0,0,1,0
951,"Olan offered to pay, but his neighbor insisted he take the pie.",1,0,0,0,0,0,1,0
952,Kai's mom invited him to a movie.,1,1,0,1,0,0,1,0
953,I am a big fan of PCC trolleys.,1,0,0,0,0,0,1,0
954,"It snagged, and was yanked from the laptop.",0,0,0,0,1,1,0,0
955,She was having a really hard time focusing because her tummy hurt.,0,0,1,0,0,1,0,0
956,He saw a clue that broke the case wide open.,1,1,0,1,0,0,0,0
957,He was scared to get back on the court.,0,1,1,0,0,1,0,0
958,When the concert went out we were both very excited and happy.,1,1,0,0,0,0,1,0
959,"Louis put on his fins, mask and snorkel.",1,1,0,0,0,0,1,0
960,Everything was riding on this title for both teams.,0,0,1,0,0,0,0,0
961,None of us expected it.,1,1,0,1,0,0,1,0
962,She then lost 5 pounds in 2 weeks.,1,1,0,1,0,0,0,0
963,But when we got there it started to rain.,0,1,1,1,0,1,0,1
964,Impatient Agnes ended up waiting much longer than ten minutes.,0,1,0,0,1,0,0,0
965,I went into the restaurant to buy a sandwich.,1,1,0,0,0,0,1,0
966,Derek's computer was usable once again after the repair.,1,0,0,1,0,0,1,0
967,Tommy was always told to never watch a particular movie.,0,0,1,0,1,1,0,1
968,Amanda served the bread to her friends after it was done.,1,1,0,0,0,0,1,0
969,It plagued me my entire life.,0,0,0,0,0,1,0,1
970,She painted a wine glass with her name.,1,1,0,0,0,0,1,0
971,Will took care of his buddy's needs.,1,0,0,0,0,0,0,0
972,"He fed it, cleaned up after it, walked it, just as if it were alive.",1,1,0,0,0,0,0,0
973,Ed and Emma were twins and wanted to have matching Halloween costumes.,1,1,0,0,0,0,1,0
974,Jack went to the beach to work on his tan.,0,1,0,0,0,0,1,0
975,His brother wanted John to teach his son how to read.,1,1,0,1,0,0,1,0
976,I said I didn't have any money but I was hungry.,0,0,1,0,0,1,0,1
977,His father explains that the sun isn't for sale.,0,0,0,0,0,1,0,0
978,Kevin was feeling upset lately.,0,1,0,0,1,1,0,0
979,John wanted something to do.,0,0,0,0,0,0,0,1
980,She wanted to customize it.,1,1,0,0,0,0,1,0
981,They hit it off and kept talking to each other.,0,1,1,0,0,1,0,1
982,He looked at my legs.,0,1,1,0,0,0,0,0
983,My roommates were very upset at me.,0,1,1,1,0,1,0,0
984,I snuck into the bathroom and poured the water on her.,0,0,1,1,1,1,0,1
985,He had something stuck around his neck.,0,0,1,0,1,1,0,0
986,She thought she was alone until she heard a man call.,1,1,0,0,0,0,0,0
987,He went to a hospital once a week and was exposed to bright lights.,0,1,0,0,0,1,1,0
988,After 20 minutes she thought he hadn't come outside.,1,0,0,0,0,0,0,0
989,It had been 20 years since Amy first saw the movie.,1,1,0,1,0,0,1,0
990,Tim was out shopping.,1,1,0,0,0,0,1,0
991,He then reported the man to park rangers.,0,1,0,1,0,0,1,0
992,An old vase caught his eye.,1,1,0,0,0,0,0,0
993,Winston bought a brand new car today.,1,1,0,1,0,0,1,0
994,Eventually Tim drank too much.,0,0,1,1,1,1,0,1
995,The boss was upset and wanted whoever left the cup to dispose of it.,0,1,0,1,1,1,0,1
996,He went to the doctor and got his knee examined.,0,1,1,1,0,1,0,0
997,She purchased them.,1,1,0,0,0,0,0,0
998,"At the party, Dan noticed someone waving at him from across the room.",0,0,0,1,0,0,0,0
999,The girl misheard him and slapped him.,0,0,1,1,1,1,0,0
1000,Today I tried on my new dress.,1,0,0,0,0,0,0,0
1001,I have a son that I go to the park to play basketball with sometimes.,1,0,0,0,0,0,0,0
1002,traffic hadn't moved as much as she hoped.,0,0,0,1,1,1,0,0
1003,Bob took his daughter Anna sledding for the first time.,1,1,0,0,0,0,0,0
1004,"Jake was hesitant, but he finally agreed to be at the delivery.",0,1,1,1,0,0,1,0
1005,Amy knew she was very lost!,0,1,1,1,0,0,0,0
1006,He offered to drive again next time.,1,0,0,0,0,0,1,0
1007,He went to his local office store to buy one.,0,1,0,0,0,0,1,0
1008,Jose adopted five dogs that day to save them.,1,1,0,0,0,0,0,0
1009,Her grandma rarely drove anywhere.,0,0,1,1,1,1,0,1
1010,Teresa and her mother did not have many things in common.,0,1,0,0,0,0,0,1
1011,She contemplated quitting.,0,1,0,0,1,1,0,1
1012,I managed to get a job.,1,1,1,1,0,0,1,0
1013,Bert Johnson was miles away from home when it started snowing.,0,1,1,1,0,0,0,0
1014,They knew they should have made reservations.,0,1,0,1,1,1,0,0
1015,Abby decided to join a local acting school.,1,1,0,0,0,0,0,0
1016,She received a phone call from her daughter Ali's school.,0,1,1,1,0,0,0,0
1017,He was not too happy when his puppy decided to go on the floor.,0,0,1,1,1,1,0,0
1018,We walked around several of the outlet stores.,1,1,0,1,0,0,1,0
1019,"Rita told him that he just likes the caffeine, not the coffee.",0,1,0,0,0,0,1,0
1020,She put them in her sock drawer.,1,0,0,0,0,0,0,0
1021,"The older brother however, only wanted to play.",0,1,0,0,1,0,0,0
1022,All of my current clothes were filled with holes.,0,1,1,1,1,1,0,0
1023,His wife turned around.,1,1,0,0,0,0,0,0
1024,Charlie is glad he practiced so hard at tennis.,1,1,0,0,0,0,1,0
1025,"After the bell rung, My friends decided to go into room 432.",1,1,0,1,0,0,1,0
1026,She fed Blossom some mints as a thank-you.,1,0,0,0,0,0,0,0
1027,Suddenly her iron started sparking and smoking.,0,1,1,1,0,0,0,0
1028,You pull up and they write down your order.,1,1,0,0,0,0,0,0
1029,They never heard the phone ring.,0,0,1,0,1,1,0,1
1030,One of the players had been fouled and was up to shoot.,0,1,1,0,0,0,0,0
1031,But then he forgot about it!,0,1,1,1,1,1,0,1
1032,She practiced every week.,1,1,0,0,0,0,1,0
1033,Kia had just discovered that she had osteosarcoma.,0,1,1,1,1,1,0,0
1034,Jim's brother thought he was talking too much and inattentive.,0,0,0,0,1,1,0,1
1035,Jess was a senior on her high school tennis team.,1,1,0,0,0,0,0,0
1036,It moved a little with the effort.,1,1,0,0,0,0,1,0
1037,He misses Dale and Dale leaves the bar avoiding death!,0,0,1,1,1,0,0,0
1038,The satellite lost its signal.,0,1,0,1,1,1,0,1
1039,I looked for a seat that has a nice view.,0,1,0,0,0,0,0,0
1040,Mary was watching her toddlers play when they got into some dirt.,1,0,0,0,1,1,0,1
1041,They talked nonstop about their game.,1,1,0,1,0,0,1,0
1042,She decided to save up.,0,1,0,0,0,1,0,0
1043,Jen sheepishly asked her hosts for a hand towel.,0,1,1,1,0,1,0,0
1044,She had to go to the police station to report her missing purse.,0,0,1,0,1,1,0,1
1045,Just then she remembered her car charger.,1,1,0,1,0,0,1,0
1046,He was rushed to the hospital.,0,0,1,1,1,1,0,0
1047,I bought a corny little card and some chocolates.,1,1,1,1,0,0,1,0
1048,Nick won by fifteen strokes.,1,0,0,0,0,0,0,0
1049,He turned to get a rag to wipe it up.,0,1,0,1,0,0,0,0
1050,Susie could not believe it.,0,0,0,1,0,0,0,1
1051,They had a good time until the lights went off.,0,1,1,1,0,0,0,0
1052,She barely talks to her husband.,0,1,0,1,0,1,0,0
1053,"Nevertheless, when her parents were away, her brother let her try.",1,1,1,1,0,0,1,0
1054,Mark rushed to the doctors to see how bad it was.,0,1,0,1,0,0,1,0
1055,He called his friend Jack to accompany him.,0,1,0,0,0,0,0,0
1056,"Unfortunately,they fell during practice and Frank broke his ankle.",0,1,1,1,1,1,0,0
1057,The boy's writing life was better off for choosing Faulkner.,1,0,0,1,0,0,0,0
1058,"I began to cry, thinking I would be fired.",0,1,1,0,0,1,0,0
1059,I agonized over what sized u-haul to rent.,0,1,1,0,0,0,0,0
1060,And he remembered he used to play it as a kid.,1,0,0,1,0,0,0,0
1061,They were psyched for the big game!,1,1,0,1,0,0,1,0
1062,Ann got a summer job at the movie theater.,1,1,0,0,0,0,0,0
1063,I went over to my sister's house and asked her to go for a walk.,1,1,0,0,0,0,0,0
1064,He agreed to buy a gallon of skim milk.,1,0,0,0,0,0,1,0
1065,Jeff went home crying.,0,0,0,1,0,0,0,0
1066,This year he chose the Choo Choo Dinner for his meal.,1,0,0,0,0,0,1,0
1067,"It turned out that there was a mistake, and George was never matched.",0,1,0,1,0,1,0,0
1068,"At the end of the day, Conrad was paid for his stories.",1,0,0,0,0,0,0,0
1069,He cancelled practice and expected us to perform tomorrow.,0,1,1,1,1,1,0,1
1070,Mia was trying to make sunny side up eggs.,0,1,0,0,0,0,0,0
1071,Roger used the bike path and followed all the traffic rules.,0,0,0,0,0,0,1,0
1072,They saw monkeys and snakes and birds.,0,0,0,0,0,0,0,0
1073,Beeno was a favourite because of Dennis the Menace.,1,1,0,0,0,0,1,0
1074,Kim bought cards and hid them in her desk at school.,0,0,0,0,0,1,0,0
1075,I will go but I think the Enchanted Village is spooky.,0,1,1,0,0,0,0,0
1076,Frank went over and sat with Randy for lunch.,1,1,0,0,0,0,1,0
1077,Ken looked in the mirror as he prepared to leave and halted.,0,0,0,1,0,0,0,0
1078,He asked me out and we went on our second date seven years later.,1,1,0,1,0,0,1,0
1079,Lex gets a shot to be the champ.,1,1,0,0,0,0,1,0
1080,"I decided to take the subway, instead.",0,1,0,0,0,0,1,0
1081,"Instead, they just gave the kids their basket of candy for Easter.",1,1,0,1,0,0,1,0
1082,He was supposed to board his plane soon.,1,1,0,0,0,0,0,0
1083,Milly took her children to a baseball game.,1,1,0,0,0,0,0,0
1084,The play began.,1,1,0,1,0,0,1,0
1085,"Gina agreed, but was apprehensive about it.",1,1,1,0,0,0,1,0
1086,He was able to purchase a new laptop.,1,1,0,0,0,0,0,0
1087,"She had lived at home, then in a dorm, then with friends.",1,1,0,0,0,0,0,0
1088,She made it where no one could tag her in photos anymore.,0,0,0,0,1,0,0,1
1089,"She left for work, scratched his car and texted him, show her that!",0,1,0,1,1,1,0,1
1090,Tia was still having trouble seeing.,0,0,1,1,0,1,0,0
1091,Ronald has been alone for most of his life.,0,0,0,0,0,1,0,0
1092,Kenny walked into his new classroom.,0,1,1,0,0,0,0,0
1093,On his fourth year he failed his parole as well.,0,0,1,0,1,1,0,1
1094,I found a book that I thought was interesting.,1,1,0,0,0,0,0,0
1095,She asked her mother to buy her a pair.,0,1,1,0,0,0,0,0
1096,Kate turned around in a huff and finished her assignment.,1,1,0,0,1,0,0,1
1097,A woman began to get annoyed by the jaunty tune.,0,0,0,0,1,0,0,1
1098,She stumbled over her first few words.,1,1,1,1,0,0,1,0
1099,Ellie waited too long to sign up and there were very few spots left.,0,0,0,0,1,1,0,1
1100,"On move day, it took Mary only a few hours to move.",1,1,0,1,0,0,1,0
1101,A representative from that company was also in Walmart.,1,1,1,1,0,0,0,0
1102,He said it was because Jed had run from him.,0,0,0,0,1,0,0,0
1103,Nobody can wait until Christmas finally passes because of him.,0,1,0,1,1,0,1,0
1104,Teddy had a crush on a girl in his school.,1,1,0,0,0,0,0,0
1105,She was very happy and excited about her upcoming trip.,1,1,0,0,0,0,1,0
1106,They all get ready to eat.,1,1,0,0,0,0,1,0
1107,She would rather work than play or have a day off.,1,1,0,0,0,0,1,0
1108,Afterwards I threw it right in the trash.,1,0,0,0,0,0,0,0
1109,He got a camera.,1,1,0,0,0,0,0,0
1110,Tyler had been trying to convince his mom that he was ready for a dog.,0,1,0,0,0,0,1,0
1111,Her little brother had eaten her chips on a road trip.,0,0,0,0,1,1,0,1
1112,"The neighbor loved his work, and soon Stephen was a famous artist.",1,1,0,1,0,0,1,0
1113,She decided to sneak into the theater.,1,1,0,0,0,0,0,0
1114,They stayed in the hotel room all day instead.,0,0,0,0,0,0,0,1
1115,At the end of the day they were both exhausted.,1,1,0,0,0,0,1,1
1116,They decided to go outside and try to dunk like they do on TV.,1,1,0,1,0,0,0,0
1117,"At the funhouse, the three kids all started for the haunted house.",1,1,1,0,0,0,0,0
1118,She had overslept and was late by 20 minutes.,0,1,1,1,0,0,0,0
1119,The kids started playing truth or dare.,1,1,1,0,0,0,0,0
1120,He stayed addicted to drugs into his adulthood.,0,0,0,0,1,1,0,0
1121,"After graduation, she cooked a fancy meal for her friends.",1,1,0,0,0,0,0,0
1122,Together they spent three hours in the garden planting flowers.,1,1,0,0,0,0,0,0
1123,His dad was shocked how much better Gary got!,1,0,0,1,0,0,0,0
1124,There were so many different things it was hard to decide.,0,1,0,0,0,0,0,0
1125,Sam ended up being happy without being an actor.,1,1,0,1,0,0,1,0
1126,Chelsea caught the lead.,1,1,0,0,0,0,0,0
1127,She at dinner with Fred.,0,0,0,0,0,1,0,0
1128,"He chomped it quickly, and soon regretted his decision.",0,0,1,1,0,0,0,0
1129,Melinda fell asleep in the car going home because of her long day.,1,1,0,0,0,0,1,0
1130,It was near my school and I used to go after class.,1,0,0,0,0,0,0,0
1131,Sandy loves watching comedies.,1,0,0,0,0,0,0,0
1132,He used to work all the time before we were married.,0,1,0,0,0,0,0,0
1133,Nothing really made her happy until one day she found a book.,1,0,0,0,0,0,0,0
1134,After school Keith worked at a famous restaurant.,1,0,0,1,0,0,1,0
1135,She told me it would be a great opportunity.,1,1,0,0,0,0,1,0
1136,The Smiths decided to continue their date.,0,0,1,0,0,0,0,0
1137,Her cat walked up to her foot.,1,0,0,1,0,0,1,0
1138,And he was able to walk much farther.,1,0,0,0,0,0,0,0
1139,Jane and Rob had a very lovely wedding ceremony.,1,0,0,1,0,0,1,0
1140,She reached into her pocket to find her glasses to help her see.,1,1,0,0,0,0,0,0
1141,They went to the doctor for help.,0,1,1,0,0,1,1,0
1142,After the first night it rained and the canvas tent started to leak.,0,0,0,1,1,1,0,1
1143,His boss gave him his salary.,1,1,0,1,0,0,1,0
1144,Jane launched a rant of fury on the co-worker.,0,0,0,0,1,0,0,0
1145,I decided to check the tire pressure and one was way low.,0,1,1,1,0,0,1,0
1146,"However, a car suddenly appeared from behind.",0,1,1,1,1,1,0,1
1147,Mindy lost a good friend that day because she was bad with names.,0,0,1,0,1,1,0,1
1148,He opened it to see if he had the right book.,1,1,0,0,0,0,1,0
1149,I looked to my left and saw a woman who was also running.,1,1,0,1,0,0,0,0
1150,Chad got out at 12 am to get the cookies.,1,1,0,1,0,0,1,0
1151,So I had to go the hat store across town.,0,1,0,1,1,1,0,0
1152,Ned's doctor said that he should get more exercise.,0,0,1,0,1,1,0,1
1153,She had not been meeting the expectations of her job.,0,0,1,0,0,1,0,0
1154,John bought some fertilizer for the plant.,0,0,0,0,0,1,0,0
1155,Hank's friend gladly helped.,1,1,0,1,0,0,1,0
1156,"She tried to gently put it on the table, but it was too hot.",0,0,0,0,1,0,0,0
1157,When I was at cub scout camp we all ate in the same huge tent.,1,1,0,0,0,0,1,0
1158,He put his pizza back on his plate and bowed his head.,0,1,1,1,0,0,0,0
1159,We had not seen each other since 1971.,1,1,0,1,0,0,0,0
1160,The Greeks won a strategic battle.,0,1,0,1,1,1,0,1
1161,She decided this wasn't enough and opted to color a picture.,1,0,0,0,0,0,1,0
1162,A large industrial truck tried to turn on the same lane.,0,1,1,1,0,0,0,0
1163,He found the comic strips.,0,1,0,0,0,0,0,0
1164,Tom and his wife had a lovely dinner at a restaurant.,1,1,0,0,0,0,1,0
1165,"When the chickens grew up, he saw he had more roosters than he needed.",1,0,0,1,0,0,0,0
1166,She started climbing the cliff.,1,1,1,0,0,0,0,0
1167,Someone had thrown out a bag of diamonds!,1,1,0,1,0,0,1,0
1168,The mountain lion slowly walked past her.,0,1,1,1,0,0,0,0
1169,They all hid in the foyer as they waited for the guest of honor.,1,1,0,1,0,0,0,0
1170,The kids were helping pack their lunches.,1,1,0,0,0,0,1,0
1171,"By the time we returned home, everyone and the dog was tired.",1,0,0,0,0,0,1,0
1172,The restaurant was closed so she went next door.,0,1,0,1,0,1,0,0
1173,I have decided to seek a tutor.,0,0,1,0,1,1,0,1
1174,"An hour later, Makenzie was itching all over and broke out in hives.",0,0,0,0,1,0,0,1
1175,Last Friday the daycare center celebrated Chinese New Year.,1,0,0,0,0,0,0,0
1176,Peter found a good spot to hide.,1,1,1,1,0,0,1,0
1177,"When he was wandering, he met an old master.",1,0,0,1,0,0,0,0
1178,Perry had no idea and thought they went to the movies.,0,1,1,0,0,0,0,0
1179,"When she played abroad, everyone just took pictures of her.",0,0,0,1,1,0,0,1
1180,"When morning came, she left for class early.",0,1,1,0,0,0,0,0
1181,"When the hygienist flossed for her, Delia's gums bled a lot.",0,0,0,1,0,1,0,0
1182,They all worked hard for him and did everything John asked and more.,0,0,0,0,0,0,0,1
1183,The man realized he had tied the wrong knot.,0,0,1,1,1,1,0,1
1184,His girlfriend suggested to cut it short because it was hot.,1,0,0,0,0,0,0,0
1185,Ben sits down and watches the show with his girlfriend.,1,1,0,0,0,0,0,0
1186,Gina felt like an intruder as she watched.,0,0,1,0,0,1,0,0
1187,My husband called this morning to tell me that he hurt his back.,0,0,1,0,0,1,0,0
1188,She also prepared some fun games for the kids.,1,1,0,1,0,0,0,0
1189,"Since the plate was hot, it quickly dropped from his hand.",0,0,1,1,1,1,0,1
1190,Ray loved watching television.,1,1,0,0,0,0,0,0
1191,But it was Friday and a holiday weekend.,0,0,0,0,0,1,0,0
1192,Gordo calls in sick to avoid giving a presentation.,0,1,1,0,0,0,0,0
1193,"When he got to the cash register, he did not have enough.",0,0,1,1,1,1,0,0
1194,Nina wanted to give back to her community.,1,0,0,0,0,0,0,0
1195,But after awhile his brothers son was reading by himself.,1,0,0,0,0,0,1,0
1196,He was there whenever they needed him.,1,1,0,0,0,0,1,0
1197,For this script she had to stand with a broom in a pantry.,0,1,0,1,1,0,0,1
1198,Joe bought his car.,1,0,0,1,0,0,0,0
1199,They saw a very scary horror movie.,0,1,1,1,0,0,0,0
1200,"He looked for the information from the pharmacy, but couldn't find it.",0,1,1,1,0,1,0,0
1201,Landed in just a way that cause my elbow to break.,0,0,1,1,1,1,0,1
1202,It was the best she had ever had.,1,1,0,1,0,0,0,0
1203,The luggage didn't show up ever again.,0,0,1,1,1,1,0,1
1204,John was invited by a friend to meet for coffee.,1,1,0,1,0,0,0,0
1205,He  walked the rest of the way,0,1,0,1,1,0,0,0
1206,"Suddenly, something jumped into his room.",0,1,1,1,0,0,0,0
1207,Out of nowhere a tornado appeared and headed towards the house.,0,1,1,0,0,0,0,0
1208,Thankfully it's still working.,1,0,0,0,0,0,0,0
1209,Eric was making some chili.,1,1,0,0,0,0,1,0
1210,There were so many people at the concert.,1,1,1,1,0,0,0,0
1211,Joe hates to cut his hair.,0,0,0,0,1,1,0,1
1212,He kept sucking his thumb.,0,1,1,0,1,1,0,0
1213,He waited patiently for her in the grocery store.,1,1,0,0,0,0,1,0
1214,So he decided to make a chocolate protein shake.,1,1,0,0,0,0,0,0
1215,She found one that she liked and bought a used red bike.,1,1,0,1,0,0,1,0
1216,Martin didn't like doing his homework.,0,1,0,0,0,1,0,1
1217,This caused all of the bikes to go falling over.,0,0,1,1,0,1,0,1
1218,"He worked for an hour, and then his yard looked great again.",1,1,0,1,0,0,1,0
1219,Sheena had always wanted to be a boxer.,1,1,0,0,0,0,1,0
1220,He knew Philly was famous for its cheese steak subs.,1,1,0,0,0,0,1,0
1221,He learned that some gum types are bad for health.,0,0,0,1,0,1,0,1
1222,The appointment was helpful and they started communicating better.,1,0,0,0,0,0,1,0
1223,"When the doctors told her she could still walk, she didn't believe it.",0,1,0,1,0,0,0,0
1224,She chose the name Jerzy which means George in Polish.,1,0,0,0,0,0,0,0
1225,Glenn went home and cried.,1,1,0,0,0,0,0,0
1226,"Unsurprisingly, none of the workers shared the codes with each other.",0,0,0,0,0,0,1,0
1227,He asked his neighbors if they knew the cat.,0,1,0,1,0,0,1,0
1228,"They gave him some Benadryl, and told him not to eat peanut butter.",0,0,1,1,0,1,0,0
1229,The liquor took effect and he signaled to Joan to begin.,0,1,1,1,0,0,1,0
1230,Mary had an uncle who had a stroke shortly after having a toothache.,0,1,1,1,0,1,0,0
1231,I went to go on a boat.,1,1,0,0,0,0,0,0
1232,But the oatmeal was so sweet that Kim couldn't finish it.,1,0,0,0,0,0,0,0
1233,The only company she kept were twelve cats.,1,0,0,0,0,0,1,0
1234,When she got there they pieced them.,1,0,0,0,0,0,0,0
1235,I stopped at a bagel place.,1,1,0,0,0,0,0,0
1236,Her husband agreed and invited their friends.,1,1,0,1,0,0,1,0
1237,"While sobbing, I collected all of the pieces.",0,0,1,0,1,1,0,0
1238,"After the results, it dawned on him that it was his own footprint.",0,0,0,0,1,0,0,1
1239,"However, John did like animals.",1,0,0,0,0,0,0,0
1240,He rolled down his window to speak with the officer.,0,1,1,1,0,0,0,0
1241,She felt a thrill when she saw the girl's parents weren't home.,1,1,0,1,0,0,1,0
1242,The kite was ruined.,0,0,0,0,0,1,0,0
1243,And she ran non-stop to school.,0,1,1,1,0,0,0,0
1244,He also proudly fired a worker unfairly.,1,0,0,0,0,0,0,0
1245,She actually was a great poker player.,0,0,0,1,1,0,0,1
1246,"Last week, Emily got mad at her brother for barging in.",0,0,0,0,0,1,0,0
1247,He hoped he would perform well.,0,1,1,1,0,0,0,0
1248,Sandy fell off her bike.,0,0,1,1,1,1,0,1
1249,Glenn is having a bad day.,0,0,0,1,1,1,0,1
1250,Tommy's secret hobby want to hike in unexplored locations.,1,1,0,1,0,0,0,0
1251,She was tall and thin.,1,0,0,0,0,0,0,0
1252,Jasmine refuses to try sushi.,0,1,0,0,0,0,0,1
1253,Benny was asked a question by a customer one afternoon.,0,0,0,0,0,0,1,0
1254,He complained about the deadline because he had to write code.,0,1,1,1,1,1,0,1
1255,She had to move to Chile to work last year.,0,1,1,0,0,1,0,0
1256,He gave me a prescription for pills.,0,1,1,0,0,1,0,1
1257,She was surprised to see three prices.,0,0,0,1,0,0,0,0
1258,Lindsey wanted some money to buy a new dress.,0,1,0,0,0,0,0,0
1259,She then got in trouble at work.,0,1,1,0,0,1,0,0
1260,After the kitten eats his fish he returns home.,1,0,0,1,0,0,1,0
1261,"When I woke up, I found out that the skies were clear.",0,0,0,0,0,0,0,0
1262,He went to the top of a cliff and jumped off in his wingsuit.,1,1,0,1,0,0,1,0
1263,He did not win and can't go to cooking school.,0,0,0,0,0,1,0,0
1264,The police thanked her for her honesty by giving her a reward.,1,0,0,1,0,0,1,0
1265,Jervis is happy that he is no longer single.,1,0,0,0,0,0,0,0
1266,Milly was able to afford hot dogs for her children.,1,1,0,0,0,0,0,0
1267,John sat on his porch every afternoon.,1,0,0,0,0,0,0,0
1268,Eric had been burned badly.,0,0,1,1,0,0,0,0
1269,She carefully filled it with water.,1,1,0,0,0,0,1,0
1270,"One day, he went camping all day and night.",1,0,0,0,0,0,0,0
1271,They gathered whatever belongings they could and drove to a motel.,1,0,1,1,0,1,0,0
1272,Their first date is the beginning of a long romance.,1,1,1,0,0,0,1,0
1273,Vanessa told her child that she would buy her a new toy.,1,1,0,0,0,0,0,0
1274,Her dream was to become a ballerina.,1,1,0,1,0,0,1,0
1275,Her son learned to obey his mom when she asks him to do chores.,0,1,1,1,0,0,1,0
1276,Tom had a headache.,0,0,0,0,1,0,0,0
1277,During graduation he was excited to start working.,1,1,0,0,0,0,0,0
1278,Kai and his mom both had a great time!,1,0,0,0,0,0,0,0
1279,Back in the early 2000s I was opposed to text messaging.,0,0,0,0,1,0,0,0
1280,She decided that she was going to breed her rabbit and sell the babies.,0,1,0,0,0,0,1,0
1281,The officer became irritated.,0,1,1,1,0,1,0,0
1282,Bob proved him wrong.,1,0,0,0,0,0,0,0
1283,Kay made sure everything was perfect!,1,1,0,0,0,0,0,0
1284,Kim's mother didn't want her to have Garbage Pail Kids cards.,0,0,0,0,0,1,0,0
1285,They called them almost s'mores.,1,1,0,0,0,0,0,0
1286,Thankfully she enjoyed it.,1,0,0,0,0,0,1,0
1287,Yesterday I got a balloon at Disney world.,1,0,0,0,0,0,0,0
1288,Ed awoke on his birthday to a surprise trip to Las Vega.,1,0,0,1,0,0,1,0
1289,"As they reached the checkout, Dan's daughter was asking for candy.",0,1,0,0,0,0,0,0
1290,Pam was still in town when the kids got off of school.,1,0,0,0,0,0,0,0
1291,She was nervous but knew she could be a good mom.,1,0,0,0,0,0,1,0
1292,She didn't realise that she was using varnish remover by accident.,0,0,0,1,1,1,0,1
1293,"But after a whole day of watching, she saw no monster.",0,1,0,1,1,1,0,0
1294,A mall vendor stopped Bill as he went to the clothes store.,0,1,0,1,0,0,0,0
1295,And he rushed to his oven.,0,0,0,1,1,1,0,1
1296,Tess and Jane took the vow.,1,0,0,0,0,0,1,0
1297,Miguel's teacher gave him homework on the first day.,0,1,0,0,0,1,0,0
1298,She pulled the tarp back and revealed a sewing machine.,1,0,0,1,0,0,0,0
1299,Her amateur record wasn't that good.,1,1,0,1,0,1,1,0
1300,She noticed something wasn't quite right.,0,1,1,0,0,0,0,0
1301,Everyone laughed.,1,0,0,0,0,0,0,0
1302,Bob was throwing a party.,1,1,0,0,0,0,0,0
1303,Nick drove to a venue to see his favorite band live.,1,1,0,0,0,0,0,0
1304,Toby lived until he was 16 years old.,1,0,0,0,0,0,0,0
1305,They ended up singing beautifully every Sunday!,1,0,0,1,0,0,1,0
1306,Today I got to learn my grandmother's secret recipe for cookies.,1,1,0,1,0,0,1,0
1307,They found some lanes and went bowling with their friends.,1,1,0,1,0,0,1,0
1308,Ted decided that it would be easier to buy a book.,0,1,0,0,0,0,1,0
